s_hat,z,rhs,violation
"[[21, 24, 35, 43, 45], [2, 21, 23, 24, 27, 35, 43, 45], [2, 9, 21, 23, 24, 27, 35, 43, 45], [2, 18, 21, 23, 24, 27, 35, 40, 43, 45, 48], [2, 4, 13, 16, 18, 19, 21, 23, 24, 27, 30, 31, 33, 35, 39, 40, 43, 45, 46, 48], [2, 4, 5, 13, 16, 18, 19, 21, 23, 24, 27, 30, 31, 33, 35, 39, 40, 43, 45, 46, 48], [2, 4, 5, 9, 13, 16, 18, 19, 21, 23, 24, 27, 30, 31, 33, 34, 35, 36, 39, 40, 43, 45, 46, 48], [2, 4, 5, 9, 12, 13, 16, 18, 19, 20, 21, 22, 23, 24, 27, 30, 31, 33, 34, 35, 36, 39, 40, 43, 45, 46, 48, 50], [2, 4, 5, 9, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 43, 45, 46, 48, 50, 51], [2, 3, 4, 5, 7, 9, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 45, 46, 47, 48, 50, 51], [2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[0.9999999999999999, 1.0, 2.1999999999999975, 3.0, 4.0, 4.799999999999999, 6.999999999999995, 8.933333333333325, 10.733333333333325, 13.933333333333337, 16.733333333333334, 21.733333333333334]","[4, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24]","[3.0, 3.0, 3.8000000000000025, 5.0, 6.0, 7.200000000000001, 7.000000000000005, 7.066666666666675, 7.266666666666675, 6.066666666666663, 5.266666666666666, 2.2666666666666657]"
"[[45], [5, 10, 12, 24, 26, 30, 32, 34, 36, 38, 39, 40, 41, 44, 48], [5, 10, 12, 16, 17, 19, 22, 24, 26, 27, 30, 31, 32, 34, 36, 38, 39, 40, 41, 44, 48, 50], [3, 4, 5, 9, 10, 12, 15, 16, 17, 19, 22, 24, 26, 27, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 48, 49, 50, 51], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 2.9444444444444433, 3.8888888888888906, 5.222222222222224, 6.388888888888889]","[2, 4, 6, 8, 10]","[0.0, 1.0555555555555567, 2.1111111111111094, 2.777777777777776, 3.6111111111111107]"
"[[45], [4, 30, 31, 34, 40, 42, 46, 49], [2, 9, 14, 16, 18, 19, 25, 28, 35, 37, 47, 50, 51], [4, 5, 8, 11, 14, 18, 19, 25, 26, 28, 30, 31, 33, 34, 36, 40, 42, 45, 46, 49], [4, 5, 8, 11, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 30, 31, 33, 34, 36, 38, 40, 41, 42, 45, 46, 49], [3, 4, 5, 8, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 23, 25, 26, 28, 29, 30, 31, 33, 34, 36, 38, 39, 40, 42, 44, 45, 46, 49], [3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 6.000000000000001, 7.999999999999999, 9.925925925925927, 11.851851851851848, 13.629629629629635, 15.629629629629635]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.0, -8.881784197001252e-16, 8.881784197001252e-16, 0.07407407407407263, 0.14814814814815236, 0.3703703703703649, 0.3703703703703649]"
"[[45], [4, 5, 6, 8, 10, 13, 14, 17, 19, 20, 23, 25, 26, 27, 29, 30, 32, 34, 35, 36, 39, 41, 42, 44, 50, 51], [2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 47, 48, 49, 50, 51]]","[2.0, 3.333333333333333, 5.0]","[2, 4, 6]","[0.0, 0.666666666666667, 1.0]"
"[[45], [3, 5, 31, 34, 38, 41, 42, 49], [3, 5, 8, 12, 17, 23, 24, 28, 30, 31, 33, 34, 36, 37, 38, 39, 47, 49, 50], [3, 5, 6, 8, 11, 12, 13, 14, 18, 19, 22, 23, 24, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 47, 49, 50], [2, 3, 4, 7, 8, 9, 12, 14, 17, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 6.0000000000000036, 7.935483870967742, 9.806451612903226, 11.580645161290334, 14.0]","[2, 4, 6, 8, 10, 12, 14]","[0.0, 0.0, -3.552713678800501e-15, 0.06451612903225801, 0.19354838709677402, 0.4193548387096655, 0.0]"
"[[2, 4, 7, 25, 26, 45], [3, 5, 8, 12, 24, 31, 33, 34, 37, 39, 47, 49], [2, 3, 4, 5, 7, 8, 12, 17, 23, 24, 25, 26, 28, 31, 33, 34, 37, 39, 45, 47, 49], [2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 22, 23, 24, 25, 26, 28, 31, 33, 34, 37, 39, 41, 45, 47, 49], [2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 21, 22, 23, 24, 25, 26, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 45, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 42, 44, 45, 47, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51]]","[1.7714285714285731, 2.8000000000000007, 4.285714285714289, 5.371428571428574, 7.142857142857147, 9.314285714285717, 13.657142857142858]","[2, 4, 6, 8, 10, 12, 14]","[0.22857142857142687, 1.1999999999999993, 1.7142857142857109, 2.6285714285714263, 2.857142857142853, 2.6857142857142833, 0.34285714285714164]"
"[[45], [6, 7, 10, 18, 21, 22, 23, 28, 29, 35, 37, 38, 42, 44, 45, 47], [3, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 35, 36, 37, 38, 42, 43, 44, 45, 47, 49, 50], [3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 2.0, 4.0, 5.999999999999999]","[2, 4, 6, 8]","[0.0, 2.0, 2.0, 2.000000000000001]"
"[[45], [3, 7, 9, 13, 15, 17, 26, 29, 32, 35, 36, 43, 45, 50], [3, 5, 6, 7, 10, 12, 15, 17, 18, 21, 22, 23, 26, 27, 28, 29, 32, 35, 36, 37, 38, 42, 43, 44, 45, 46, 47, 48, 50], [3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.249999999999999, 4.333333333333334, 6.083333333333334]","[2, 4, 6, 8]","[0.0, 0.7500000000000009, 1.666666666666666, 1.916666666666666]"
"[[45], [3, 5, 8, 12, 24, 31, 33, 34, 37, 39, 47, 49], [2, 4, 7, 8, 12, 17, 20, 23, 25, 26, 28, 33, 35, 37, 40, 44, 45, 46, 47], [2, 3, 4, 5, 7, 8, 12, 17, 20, 23, 24, 25, 26, 28, 30, 31, 33, 34, 36, 37, 38, 39, 44, 45, 47, 49, 50], [3, 5, 6, 8, 9, 11, 12, 13, 14, 18, 19, 21, 22, 23, 24, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 42, 43, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 39, 41, 43, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.8726591760299662, 5.363295880149812, 7.370786516853934, 9.138576779026215, 11.108614232209742, 14.000000000000002]","[2, 4, 6, 8, 10, 12, 14]","[0.0, 0.12734082397003377, 0.6367041198501884, 0.6292134831460663, 0.8614232209737853, 0.8913857677902577, -1.7763568394002505e-15]"
"[[2, 17, 26, 31], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51]]","[0.0, 0.0, 0.0, 4.0]","[2, 6, 6, 8]","[2.0, 6.0, 6.0, 4.0]"
"[[21, 29, 47], [3, 4, 5, 6, 7, 10, 11, 14, 15, 20, 21, 23, 28, 29, 30, 32, 33, 34, 35, 39, 44, 45, 47, 48, 51], [3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[0.7999999999999998, 2.4, 4.0, 8.0]","[2, 4, 6, 8]","[1.2000000000000002, 1.6, 2.0, 0.0]"
"[[45], [6, 7, 8, 10, 11, 12, 14, 17, 20, 21, 22, 23, 25, 26, 27, 29, 32, 34, 36, 37, 39, 40, 44, 48, 49, 50, 51], [2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 48, 49, 50, 51]]","[2.0, 3.4000000000000004, 4.800000000000001]","[2, 4, 6]","[0.0, 0.5999999999999996, 1.1999999999999993]"
"[[8, 11, 13, 26, 33, 41, 45], [8, 11, 13, 26, 33, 41, 45], [4, 9, 14, 18, 19, 25, 28, 30, 31, 34, 39, 40, 42, 43, 49, 51], [4, 5, 8, 11, 12, 13, 20, 26, 29, 30, 31, 33, 34, 36, 38, 40, 41, 42, 45, 46, 49], [4, 5, 8, 9, 11, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 31, 33, 34, 36, 38, 39, 40, 41, 42, 43, 45, 46, 49, 51], [3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 33, 34, 36, 38, 39, 40, 41, 42, 43, 45, 46, 49, 51], [2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51]]","[1.3684210526315785, 1.368421052631579, 2.947368421052632, 3.473684210526314, 4.105263157894736, 5.684210526315785, 8.000000000000005, 11.68421052631579]","[4, 4, 6, 8, 10, 12, 14, 16]","[2.6315789473684212, 2.6315789473684212, 3.052631578947368, 4.526315789473686, 5.894736842105264, 6.315789473684215, 5.999999999999995, 4.315789473684211]"
"[[45], [2, 4, 8, 12, 23, 26, 28, 33, 37, 45, 47], [3, 5, 8, 12, 13, 22, 23, 24, 28, 31, 33, 34, 37, 38, 39, 41, 42, 47, 49], [3, 5, 8, 9, 12, 13, 14, 22, 23, 24, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 47, 49, 50], [2, 3, 4, 5, 6, 8, 9, 12, 13, 14, 18, 19, 21, 22, 23, 24, 26, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 45, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.0, 4.500000000000005, 5.5000000000000036, 7.500000000000002, 10.000000000000005, 13.999999999999996]","[2, 4, 6, 8, 10, 12, 14]","[0.0, 1.0, 1.4999999999999947, 2.4999999999999964, 2.4999999999999982, 1.9999999999999947, 3.552713678800501e-15]"
"[[45], [13, 17, 19, 26, 29, 38, 39, 43, 48], [3, 4, 5, 6, 7, 9, 12, 20, 23, 24, 25, 30, 32, 33, 34, 35, 36, 40, 42, 46, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 17, 18, 20, 23, 24, 25, 28, 30, 31, 32, 33, 34, 35, 36, 39, 40, 42, 44, 45, 46, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 17, 18, 19, 20, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 42, 43, 44, 45, 46, 48, 49, 50]]","[2.0, 4.000000000000001, 6.0, 7.500000000000005, 9.500000000000002]","[2, 4, 6, 8, 10]","[0.0, -8.881784197001252e-16, 0.0, 0.49999999999999467, 0.4999999999999982]"
"[[7, 11, 20, 21, 22, 23, 34, 37, 48, 49, 51], [4, 5, 6, 7, 8, 10, 11, 13, 14, 17, 19, 20, 21, 22, 23, 25, 26, 27, 29, 30, 32, 34, 35, 36, 37, 39, 41, 42, 44, 48, 49, 50, 51], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 48, 49, 50, 51]]","[0.0, 1.0, 1.0]","[2, 4, 6]","[2.0, 3.0, 5.0]"
"[[45], [18, 27, 31, 44, 45, 48, 50], [5, 12, 14, 18, 25, 26, 27, 31, 36, 42, 44, 45, 48, 50, 51], [2, 3, 7, 8, 11, 16, 17, 18, 20, 21, 26, 27, 29, 30, 31, 33, 34, 35, 43, 44, 45, 47, 49, 50], [2, 3, 5, 7, 8, 11, 12, 14, 15, 16, 17, 18, 20, 21, 24, 25, 26, 27, 29, 30, 31, 33, 34, 35, 36, 41, 43, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 7, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51]]","[2.0, 4.0, 6.0, 8.000000000000002, 9.999999999999995, 11.916434540389966]","[2, 4, 6, 8, 10, 12]","[0.0, 0.0, 0.0, -1.7763568394002505e-15, 5.329070518200751e-15, 0.0835654596100337]"
"[[45], [4, 19, 30, 31, 34, 40, 42, 49], [9, 11, 14, 16, 18, 19, 25, 26, 28, 39, 47, 50, 51], [2, 9, 14, 16, 18, 19, 25, 28, 30, 31, 34, 35, 37, 39, 40, 47, 49, 50, 51], [3, 4, 5, 9, 10, 12, 14, 17, 18, 19, 20, 21, 23, 25, 28, 30, 31, 34, 36, 38, 39, 40, 42, 44, 46, 49, 51], [2, 3, 4, 5, 9, 10, 12, 14, 16, 17, 18, 19, 20, 21, 23, 25, 28, 30, 31, 34, 35, 36, 37, 38, 39, 40, 42, 44, 46, 47, 49, 50, 51], [4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 51], [2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.546468401486986, 7.6505576208178425, 9.650557620817844, 11.650557620817844, 13.576208178438648, 15.472118959107792]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.0, 0.45353159851301417, 0.3494423791821575, 0.3494423791821557, 0.3494423791821557, 0.42379182156135187, 0.5278810408922077]"
"[[45], [18, 27, 31, 44, 45, 48, 50], [5, 12, 14, 18, 19, 25, 26, 27, 31, 36, 44, 45, 48, 50, 51], [4, 5, 9, 12, 14, 18, 19, 25, 26, 27, 31, 36, 37, 38, 39, 41, 42, 44, 45, 46, 48, 50, 51], [2, 3, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40, 43, 44, 45, 47, 48, 49, 50], [2, 3, 4, 5, 7, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51]]","[2.0, 3.9999999999999996, 6.000000000000002, 7.999999999999998, 10.000000000000007, 11.996007984031934]","[2, 4, 6, 8, 10, 12]","[0.0, 4.440892098500626e-16, -1.7763568394002505e-15, 1.7763568394002505e-15, -7.105427357601002e-15, 0.003992015968066198]"
"[[45], [5, 10, 12, 24, 26, 32, 36, 39, 40, 41, 44], [4, 5, 9, 10, 12, 15, 16, 19, 24, 26, 32, 35, 36, 39, 40, 41, 43, 44, 48, 50], [4, 5, 8, 9, 10, 12, 15, 16, 17, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 38, 39, 40, 41, 43, 44, 47, 48, 50, 51], [2, 4, 5, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 47, 48, 49, 50, 51]]","[2.0, 3.5000000000000027, 4.999999999999998, 6.500000000000022, 8.166666666666702]","[2, 4, 6, 8, 10]","[0.0, 0.49999999999999734, 1.0000000000000018, 1.4999999999999778, 1.8333333333332984]"
"[[2, 15, 41], [2, 3, 6, 7, 12, 15, 17, 22, 24, 27, 34, 35, 39, 40, 41, 45, 47, 49], [2, 3, 6, 7, 10, 12, 15, 17, 22, 24, 27, 28, 34, 35, 39, 40, 41, 45, 47, 49, 50], [2, 3, 4, 5, 6, 7, 9, 10, 12, 15, 17, 20, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 45, 46, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]]","[1.0, 1.0, 1.0, 2.0, 4.0]","[2, 4, 6, 8, 10]","[1.0, 3.0, 5.0, 6.0, 6.0]"
"[[45], [6, 7, 10, 18, 21, 22, 23, 26, 27, 28, 29, 35, 37, 38, 42, 44, 45, 46, 47, 48], [3, 7, 8, 9, 13, 14, 15, 16, 17, 18, 22, 24, 26, 29, 30, 32, 33, 35, 36, 38, 42, 43, 44, 45, 48, 49, 50], [3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.999999999999999, 5.499999999999998, 7.999999999999999]","[2, 4, 6, 8]","[0.0, 8.881784197001252e-16, 0.5000000000000018, 8.881784197001252e-16]"
"[[45], [5, 10, 16, 19, 22, 32, 39, 41, 44, 50], [5, 9, 10, 12, 16, 19, 22, 24, 26, 32, 33, 36, 37, 39, 40, 41, 44, 48, 50], [2, 4, 5, 9, 10, 11, 15, 16, 18, 19, 20, 21, 22, 32, 33, 35, 37, 39, 41, 42, 43, 44, 45, 46, 49, 50], [2, 4, 5, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51]]","[2.0, 3.3142857142857127, 4.742857142857151, 6.142857142857142, 8.285714285714288]","[2, 4, 6, 8, 10]","[0.0, 0.6857142857142873, 1.2571428571428491, 1.8571428571428577, 1.7142857142857117]"
"[[11, 14, 18, 20, 21, 42, 45, 46], [2, 4, 5, 9, 10, 12, 15, 16, 19, 22, 24, 25, 26, 28, 32, 33, 35, 36, 37, 39, 40, 41, 43, 44, 48, 49, 50, 51], [2, 4, 5, 9, 10, 12, 15, 16, 19, 22, 24, 25, 26, 28, 32, 33, 35, 36, 37, 39, 40, 41, 43, 44, 48, 49, 50, 51], [2, 4, 5, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 28, 32, 33, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51], [2, 4, 5, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51]]","[0.0, 0.5000000000000002, 0.5000000000000004, 0.5, 1.0]","[2, 6, 6, 8, 10]","[2.0, 5.5, 5.5, 7.5, 9.0]"
