s_hat,z,rhs,violation
"[[45], [3, 11, 15, 20, 21, 23, 28, 29, 30, 33, 34, 35, 39, 44, 45, 47, 48], [2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 17, 18, 20, 21, 23, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 39, 42, 44, 45, 47, 48, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.428571428571429, 8.0]","[2, 4, 6, 8]","[0.0, 0.0, 0.5714285714285712, 0.0]"
"[[45], [3, 8, 27, 33, 34, 47, 50], [3, 7, 8, 15, 17, 20, 21, 27, 30, 31, 34, 44, 45, 47, 50], [2, 3, 7, 8, 11, 16, 17, 18, 20, 21, 26, 27, 29, 30, 31, 33, 34, 35, 43, 44, 45, 47, 49, 50], [2, 3, 5, 7, 8, 11, 12, 14, 16, 17, 18, 20, 21, 24, 25, 26, 27, 29, 30, 31, 34, 35, 36, 37, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.438356164383552, 5.383561643835623, 7.497716894977156, 9.40639269406392, 11.223744292237464]","[2, 4, 6, 8, 10, 12]","[0.0, 0.5616438356164482, 0.6164383561643767, 0.502283105022844, 0.5936073059360805, 0.7762557077625356]"
"[[27, 31, 49], [2, 7, 8, 11, 14, 18, 22, 23, 24, 25, 30, 32, 33, 34, 37, 38, 48, 50], [2, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 45, 47, 48, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50]]","[0.0, 0.0, 2.0, 6.0]","[2, 4, 6, 8]","[2.0, 4.0, 4.0, 2.0]"
"[[45], [2, 6, 9, 13, 14, 16, 17, 22, 25, 26, 29, 30, 40, 41, 42, 45, 51], [2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 19, 21, 22, 24, 25, 26, 28, 29, 30, 32, 39, 40, 41, 42, 43, 45, 47, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.0, 8.0]","[2, 4, 6, 8]","[0.0, 0.0, 1.0, 0.0]"
"[[45], [2, 4, 5, 6, 10, 12, 14, 17, 19, 22, 26, 31, 32, 35, 48, 50, 51], [2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 17, 18, 20, 21, 23, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 39, 42, 44, 45, 47, 48, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.916666666666666, 5.416666666666667, 8.0]","[2, 4, 6, 8]","[0.0, 0.08333333333333393, 0.583333333333333, 0.0]"
"[[45], [3, 6, 7, 12, 17, 24, 34, 35, 39, 40, 45, 49], [3, 6, 7, 11, 12, 13, 14, 17, 19, 21, 22, 24, 26, 29, 34, 35, 39, 40, 43, 45, 48, 49], [3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 26, 29, 30, 32, 34, 35, 36, 39, 40, 42, 43, 45, 46, 48, 49, 50], [3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50]]","[2.0, 2.3600000000000003, 2.9600000000000004, 4.279999999999998, 6.359999999999998]","[2, 4, 6, 8, 10]","[0.0, 1.6399999999999997, 3.0399999999999996, 3.7200000000000024, 3.6400000000000023]"
"[[45], [14, 18, 19, 25, 26, 28], [7, 9, 11, 14, 15, 18, 19, 25, 26, 28, 39, 41, 43, 51], [7, 8, 9, 11, 14, 15, 18, 19, 25, 26, 28, 30, 33, 39, 40, 41, 43, 49, 51], [2, 7, 8, 9, 11, 14, 15, 16, 18, 19, 25, 26, 28, 30, 33, 35, 37, 39, 40, 41, 43, 47, 49, 50, 51], [3, 4, 5, 6, 8, 10, 11, 12, 14, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 33, 34, 36, 38, 40, 42, 44, 45, 46, 49], [3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.937499999999996, 7.875000000000002, 9.875, 11.812499999999996, 13.75, 15.749999999999995]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.0, 0.06250000000000444, 0.12499999999999822, 0.125, 0.18750000000000355, 0.25, 0.25000000000000533]"
"[[45], [7, 9, 16, 28, 43, 48, 51], [7, 9, 14, 16, 18, 19, 25, 28, 30, 40, 43, 49, 51], [2, 7, 9, 14, 16, 18, 19, 25, 28, 30, 35, 37, 40, 43, 47, 48, 49, 50, 51], [7, 8, 9, 11, 13, 14, 15, 16, 18, 19, 25, 26, 28, 30, 31, 33, 34, 39, 40, 41, 43, 45, 48, 49, 51], [3, 4, 5, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 23, 25, 26, 28, 30, 31, 33, 34, 36, 38, 39, 40, 42, 43, 46, 48, 49, 51], [3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 41, 42, 44, 45, 46, 49], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.8315789473684165, 5.894736842105274, 7.831578947368416, 9.789473684210536, 11.72631578947368, 13.389473684210536, 15.747368421052645]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.16842105263158347, 0.10526315789472562, 0.1684210526315839, 0.21052631578946368, 0.2736842105263193, 0.610526315789464, 0.252631578947355]"
"[[45], [5, 10, 12, 26, 30, 32, 40, 44, 48], [2, 4, 5, 9, 15, 16, 19, 22, 24, 32, 33, 35, 36, 37, 39, 41, 43, 44, 50], [3, 4, 5, 9, 10, 12, 13, 15, 16, 17, 19, 22, 24, 26, 27, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 48, 50, 51], [2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50]]","[2.0, 3.9503834009923384, 5.943166441136666, 7.745602165087971, 9.653585926928292]","[2, 4, 6, 8, 10]","[0.0, 0.04961659900766158, 0.05683355886333441, 0.2543978349120293, 0.346414073071708]"
"[[45], [4, 5, 6, 10, 14, 15, 17, 23, 26, 32, 34, 35, 44, 45, 48, 51], [2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 17, 18, 20, 21, 23, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 39, 42, 44, 45, 47, 48, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.5, 5.0, 8.0]","[2, 4, 6, 8]","[0.0, 0.5, 1.0, 0.0]"
"[[45], [12, 17, 21, 22, 27, 39, 41, 45, 47, 49], [3, 6, 7, 12, 15, 17, 21, 22, 24, 27, 34, 35, 39, 40, 41, 45, 47, 49, 50], [3, 4, 5, 6, 7, 9, 12, 15, 17, 20, 21, 22, 23, 24, 25, 27, 30, 32, 34, 35, 36, 39, 40, 41, 42, 45, 46, 47, 49, 50], [3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50]]","[2.0, 3.684210526315789, 5.052631578947367, 7.157894736842104, 9.368421052631579]","[2, 4, 6, 8, 10]","[0.0, 0.31578947368421106, 0.9473684210526327, 0.8421052631578956, 0.6315789473684212]"
"[[45], [3, 6, 7, 12, 17, 22, 27, 34, 39, 40, 45, 49], [2, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 26, 27, 29, 37, 39, 41, 43, 45, 47, 48, 49, 51], [2, 3, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27, 29, 34, 35, 37, 39, 40, 41, 43, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 6.0000000000000036, 7.636363636363635, 9.636363636363647]","[2, 4, 6, 8, 10]","[0.0, 0.0, -3.552713678800501e-15, 0.3636363636363651, 0.36363636363635266]"
"[[8, 11, 26, 33], [8, 11, 13, 26, 33, 39, 45], [4, 5, 8, 9, 11, 13, 14, 18, 19, 25, 26, 28, 30, 31, 33, 34, 36, 39, 40, 42, 45, 46, 49, 51], [4, 5, 8, 9, 11, 13, 14, 18, 19, 25, 26, 28, 30, 31, 33, 34, 36, 39, 40, 42, 45, 46, 49, 51], [4, 5, 8, 9, 11, 13, 14, 18, 19, 23, 25, 26, 28, 30, 31, 33, 34, 36, 39, 40, 42, 45, 46, 49, 51], [3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 42, 45, 46, 49, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 42, 43, 45, 46, 47, 49, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 51]]","[1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 6.0, 12.0]","[2, 4, 8, 8, 10, 12, 14, 16]","[1.0, 3.0, 6.0, 6.0, 7.0, 9.0, 8.0, 4.0]"
"[[45], [18, 19, 28, 30, 40, 49], [7, 9, 11, 14, 16, 18, 19, 25, 26, 28, 39, 43, 51], [8, 9, 11, 14, 15, 18, 19, 25, 26, 28, 30, 31, 33, 34, 39, 40, 43, 45, 49, 51], [3, 4, 5, 7, 9, 12, 14, 15, 16, 18, 19, 20, 23, 25, 28, 29, 30, 31, 34, 36, 38, 39, 40, 42, 43, 46, 49, 51], [3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 42, 43, 45, 46, 49, 51], [3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.804347826086954, 7.78260869565217, 9.760869565217389, 11.521739130434783, 13.456521739130439, 15.47826086956522]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.0, 0.19565217391304568, 0.21739130434782972, 0.2391304347826111, 0.47826086956521685, 0.543478260869561, 0.5217391304347796]"
"[[45], [6, 7, 10, 18, 21, 22, 23, 29, 35, 38, 42, 44, 45, 46, 48], [3, 5, 7, 8, 9, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 29, 30, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 49, 50], [3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]]","[2.0, 4.0, 5.0, 7.000000000000002]","[2, 4, 6, 8]","[0.0, 0.0, 1.0, 0.9999999999999982]"
"[[45], [8, 9, 13, 14, 15, 16, 17, 24, 30, 33, 34, 43, 49, 51], [3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 2.666666666666667, 4.666666666666666, 5.999999999999999]","[2, 4, 6, 8]","[0.0, 1.333333333333333, 1.333333333333334, 2.000000000000001]"
"[[45], [4, 39, 40, 48], [18, 21, 31, 35, 36, 43, 45], [3, 4, 8, 12, 16, 19, 30, 33, 39, 40, 46, 47, 48, 50], [3, 4, 13, 18, 21, 31, 35, 36, 39, 40, 43, 45, 48], [3, 4, 8, 12, 16, 18, 19, 21, 30, 31, 33, 35, 36, 39, 40, 43, 45, 46, 48, 50], [3, 4, 7, 10, 11, 13, 14, 16, 18, 19, 21, 29, 30, 31, 33, 35, 36, 37, 39, 40, 43, 45, 46, 47, 48, 49, 50], [3, 4, 7, 8, 10, 11, 12, 13, 14, 16, 18, 19, 21, 28, 29, 30, 31, 32, 33, 35, 36, 37, 39, 40, 43, 45, 46, 47, 48, 49, 50], [2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 16, 18, 19, 21, 22, 23, 24, 27, 29, 30, 31, 33, 34, 35, 36, 39, 40, 43, 45, 46, 47, 48, 49, 50], [2, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 43, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[1.9999999999999998, 2.4978294700630626, 3.9896797444508065, 5.664018347120962, 7.089032680809227, 8.497501842902764, 9.89876320746989, 11.53722663608811, 14.437709886149575, 16.411335899746078, 19.16684413137848, 22.030633139487264]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24]","[2.220446049250313e-16, 1.5021705299369374, 2.0103202555491935, 2.3359816528790383, 2.910967319190773, 3.5024981570972358, 4.101236792530109, 4.462773363911889, 3.562290113850425, 3.588664100253922, 2.833155868621521, 1.9693668605127357]"
"[[45], [2, 6, 9, 13, 14, 16, 17, 19, 22, 24, 29, 30, 39, 40, 41, 45, 51], [2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.3333333333333335, 5.333333333333334, 8.0]","[2, 4, 6, 8]","[0.0, 0.6666666666666665, 0.6666666666666661, 0.0]"
"[[45], [8, 12, 16, 19, 28, 33, 46], [3, 8, 12, 16, 19, 30, 33, 39, 46, 50], [3, 4, 7, 11, 14, 29, 30, 39, 40, 47, 48, 49, 50], [2, 5, 13, 18, 21, 22, 23, 24, 27, 31, 35, 36, 38, 41, 43, 45], [3, 4, 5, 7, 10, 11, 13, 14, 18, 21, 29, 31, 35, 37, 39, 40, 43, 47, 48, 49], [2, 3, 4, 7, 11, 13, 14, 18, 21, 22, 23, 24, 27, 29, 31, 35, 36, 37, 39, 40, 43, 45, 47, 48, 49], [2, 3, 4, 5, 7, 10, 11, 13, 14, 18, 21, 22, 23, 24, 27, 29, 30, 31, 35, 36, 37, 38, 39, 40, 41, 43, 45, 47, 48, 49], [2, 3, 4, 5, 7, 9, 11, 13, 14, 18, 21, 22, 23, 24, 27, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40, 41, 43, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 7, 9, 11, 13, 14, 15, 18, 21, 22, 23, 24, 26, 27, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.4464534075104254, 5.435326842837273, 7.474269819193324, 9.39360222531293, 11.246175243393603, 13.474269819193317, 15.371349095966613, 17.499304589707933, 19.549374130737142, 21.674547983310163, 23.59388038942977]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24]","[0.0, 0.5535465924895746, 0.5646731571627273, 0.5257301808066757, 0.6063977746870695, 0.7538247566063969, 0.5257301808066828, 0.6286509040333872, 0.5006954102920673, 0.45062586926285775, 0.32545201668983736, 0.4061196105702294]"
"[[45], [3, 8, 11, 14, 18, 20, 22, 25, 27, 29, 30, 31, 32, 37, 38, 39, 49, 50], [2, 3, 4, 5, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 22, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 45, 48, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.500000000000001, 5.5, 7.999999999999999]","[2, 4, 6, 8]","[0.0, 0.4999999999999991, 0.5, 8.881784197001252e-16]"
"[[4, 12, 50], [2, 6, 9, 10, 13, 14, 16, 17, 22, 26, 29, 30, 31, 40, 41, 42, 45, 49, 51], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 21, 22, 24, 25, 26, 29, 30, 31, 35, 39, 40, 41, 42, 45, 47, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[1.1999999999999997, 3.5999999999999996, 5.199999999999999, 8.0]","[2, 4, 6, 8]","[0.8000000000000003, 0.40000000000000036, 0.8000000000000007, 0.0]"
"[[45], [3, 11, 15, 20, 21, 23, 28, 29, 30, 33, 34, 35, 39, 44, 45, 47, 48], [2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 17, 18, 20, 21, 23, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 39, 42, 44, 45, 47, 48, 51], [2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.581818181818186, 7.999999999999999]","[2, 4, 6, 8]","[0.0, 0.0, 0.41818181818181444, 8.881784197001252e-16]"
"[[45], [5, 10, 12, 17, 24, 26, 32, 36, 40, 44, 48], [2, 4, 6, 9, 11, 14, 15, 18, 19, 20, 21, 33, 35, 37, 42, 43, 45, 46, 49], [3, 4, 5, 8, 10, 12, 13, 15, 16, 17, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 38, 39, 40, 41, 44, 47, 48, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 47, 48, 49, 50, 51]]","[2.0000000000000004, 4.000000000000001, 6.0, 7.923076923076927, 9.884615384615394]","[2, 4, 6, 8, 10]","[-4.440892098500626e-16, -8.881784197001252e-16, 0.0, 0.0769230769230731, 0.11538461538460609]"
